Produtos;Vendas(BRL);ROAS;Taxa de conversão;Impressões;Cliques;CTR;Gastos(BRL);CPC(BRL);Pedidos;ACOS
B09DR5LVJX;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B09DR6HQXZ;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B09DR7SJYJ;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B09DRB2B6F;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B09DRCBBDN;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B09DRDKJTH;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B09ZC1FRDM;1789,30;4,35;29%;51888;237;0,46%;411,56;1,74;68;23,00%
B09XN9GYV4;7821,95;7,88;8%;156024;688;0,44%;992,55;1,44;57;12,69%
B0BWPJYPC8;2602,91;4,26;8%;157694;566;0,36%;610,60;1,08;43;23,46%
B09XRHBSBJ;4699,62;10,06;8%;109302;402;0,37%;467,30;1,16;33;9,94%
B09Z7CNZTT;4813,77;9,84;4%;149737;572;0,38%;489,29;0,86;24;10,16%
B0BDN29T24;9736,95;14,19;5%;168804;467;0,28%;685,99;1,47;24;7,05%
B09Z77PP2W;2186,60;3,75;4%;141976;622;0,44%;583,63;0,94;23;26,69%
B0CP8HTMNB;17315,25;29,01;5%;82968;275;0,33%;596,80;2,17;15;3,45%
B09ZGLW945;2458,80;3,48;2%;143028;576;0,40%;707,09;1,23;12;28,76%
B09Z71WDTG;1945,10;3,12;2%;127323;349;0,27%;624,09;1,79;8;32,09%
B09XPFTDDQ;553,30;3,09;5%;131489;129;0,10%;178,90;1,39;6;32,33%
B09ZJ5R6K8;469,80;0,85;1%;212105;295;0,14%;552,90;1,87;2;117,69%
B09ZF84YCY;0,00;0,00;0%;2254;9;0,40%;8,79;0,98;0;0,00%
B09ZJ4S15R;0,00;0,00;0%;0;0;0,00%;0,00;0,00;0;0,00%
B0CP8G6T3H;0,00;0,00;0%;20842;67;0,32%;360,65;5,38;0;0,00%
